app_id,title,app_type,developer,publisher,release_date,rating_text,game_desc,user_tag
242460,Football Manager 2014 Editor,Tool,"","","","","",""
255260,Pro Cycling Manager 2014,Game,Cyanide Studio,"",19 June 2014 – 16:15:00 UTC,"66.80% of the 259 user reviews are positive.

SteamDB Rating",Take on the role of manager and lead one of the pro cycling circuit's 75 teams. Join an outstanding 2014 season with more than 200 competitions across 550 stages including the prestigious Tour de France.,"Adventure, Simulation, Sports, Management, Cycling"
227760,March of the Eagles,Game,Paradox Development Studio,Paradox Interactive,18 February 2013 – 18:00:00 UTC,"67.17% of the 265 user reviews are positive.

SteamDB Rating","“he Who Fears Being Conquered Is Sure Of Defeat.”The war-game March of the Eagles focuses on the dramatic conflicts of Europe during 1805 to 1820. Explore one of the defining periods in European history with this experience crafted by the masters of Grand Strategy, Paradox Development Studio.","Strategy, Simulation, Sandbox, Historical, Grand Strategy, Real-Time with Pause"
1207850,Project RTD: Random Tower Defense PvP,Game,NGELGAMES,NGELGAMES,18 February 2020 – 02:04:00 UTC,"57.30% of the 705 user reviews are positive.

SteamDB Rating","Project RTD is a Random Tower Defense PVP Game. Players will compete against each other, defending with randomly built towers or attacking other players by summoning monsters to become the “Final Winner”. The thrill of randomness and Strategic Tech Tree. Experience both in one game!","Strategy, Action, Early Access, Simulation, Tower Defense, Survival, Tactical, PvP, Multiplayer, Competitive, Futuristic, eSports, Battle Royale"
366910,The Long Journey Home,Game,Daedalic Studio West,Daedalic Entertainment,30 May 2017 – 17:06:26 UTC,"62.97% of the 1,542 user reviews are positive.

SteamDB Rating","The Long Journey Home combines an open world full of galaxies, planets and anomalies with quests and mechanics of a rogue-like RPG. One destination. Endless adventures. Where will this journey take you?","Strategy, Adventure, RPG, Indie, Simulation, Survival, Rogue-like, Story Rich, Space, Exploration, 2D, Sci-fi, Difficult, Singleplayer, Procedural Generation"
232750,Mars: War Logs,Game,Spiders,Focus Home Interactive,26 April 2013 – 08:59:00 UTC,"74.11% of the 2,252 user reviews are positive.

SteamDB Rating","An Intense Cyberpunk Rpg On the Red Planet! Mars War Logs takes you to Mars, nearly a century after the cataclysm that threw the planet and its colonists into chaos. Water has become the most precious resource on the arid red planet, with a few companies fighting a perpetual war for its control.","Action, Adventure, RPG, Third Person, Crafting, Story Rich, Post-apocalyptic, Sci-fi, Cyberpunk, Atmospheric, Singleplayer, Action RPG, Mars"
1189800,Bleeding Edge,Game,Ninja Theory,Ninja Theory,24 March 2020 – 07:11:30 UTC,"69.56% of the 1,508 user reviews are positive.

SteamDB Rating","Grab your team and tear it up in Bleeding Edge, an electrifying online brawler where every fighter comes mechanically enhanced for mayhem!","Action, Hack and Slash, Third Person, MOBA, Fighting, PvP, Online Co-Op, Multiplayer, Competitive, Cyberpunk, Team-Based, Hero Shooter"
281690,The Legend of Korra™,Game,PlatinumGames,Activision,21 October 2014 – 17:00:00 UTC,"","","Action, Adventure, Casual, Hack and Slash, Fantasy, Third Person, Fighting, Great Soundtrack, Steampunk, Character Action Game, Magic, Anime, Beat 'em up, Atmospheric, Singleplayer, Cartoon, Spectacle fighter, Family Friendly, Martial Arts, Female Protagonist, Action, Adventure, Casual, Hack and Slash, Fantasy, Third Person, Fighting, Great Soundtrack, Steampunk, Character Action Game, Magic, Anime, Beat 'em up, Atmospheric, Singleplayer, Cartoon, Spectacle fighter, Family Friendly, Martial Arts, Female Protagonist"
39690,ArcaniA,Game,Spellbound,THQ Nordic,15 October 2010,"52.80% of the 1,928 user reviews are positive.

SteamDB Rating","War covers the southern islands until it finally reaches the idyllic isle of Feshyr. You take on the role as the new nameless hero after your village has been pillaged and destroyed by paladins of the king. Seeking revenge, you soon realize that this cowardly attack did not just happen on a reckless mercenary`s whim.","Action, Adventure, RPG, Casual, Fantasy, Open World, Third Person, Gothic, Magic, Medieval, Singleplayer, Action RPG"
1054800,变量 - Variables,Game,Asteroid Game Studio,Asteroid Game Studio,30 July 2019 – 21:15:25 UTC,"85.83% of the 847 user reviews are positive.

SteamDB Rating","We created this unique single player game with a combination of Tower Defence and Roguelike. Come and create your maze, build your turret, defeat the invaders, and save the world!","Strategy, Indie, Casual, Tower Defense, Rogue-lite"
575550,Hell Girls,Game,Athena Works,Athena Works,13 January 2017 – 00:30:00 UTC,"88.81% of the 3,512 user reviews are positive.

SteamDB Rating","Hell Girls is a unique puzzle RPG that prioritizes match3 strategy over speed. Fight monsters with diverse characters that have unique fighting skills based on their personalities. With anime inspired artwork, each character has loads of cute and sexy outfits. Hell Girls blends addictive gameplay with immersive roleplaying and story.","Strategy, Adventure, RPG, Indie, Casual, Puzzle, Match 3, Psychological Horror, Anime, Singleplayer, Cute, Mature, Nudity, Female Protagonist, Hentai, Memes, Sexual Content, NSFW"
547680,Guild Quest,Game,Hyper Hippo Games,Hyper Hippo Games,26 January 2017 – 18:08:00 UTC,"69.31% of the 1,688 user reviews are positive.

SteamDB Rating","You’ve just bought yourself a new island and it’s time to fill it up with QUESTS! Collect guildians, upgrade their guildhalls, and unleash them onto your own custom quest lines.","Strategy, Action, Adventure, Free to Play, RPG, Indie, Early Access, Casual, Simulation, Building, Card Game, Multiplayer, 2D, Funny, Singleplayer, Clicker"
495570,ConflictCraft,Game,Cristian Manolachi,Cristian Manolachi,8 December 2016 – 22:29:58 UTC,"81.70% of the 153 user reviews are positive.

SteamDB Rating","Defend and attack at same time! You’ll need to capture as many bases as you can. There are different types ranging from anti-air guns, turrets and radio towers to nuclear silos. Your offensive capabilities consist of tanks, attack helicopters and dropships. Deeply rewarding strategic warfare.","Strategy, Action, Adventure, Indie, Casual, Simulation, Sports, Turn-Based, War, Co-op, Tactical, Turn-Based Strategy, Real Time Tactics, Multiplayer, Combat, Military, Realistic, Grand Strategy, Management"
55110,Red Faction: Armageddon,Game,Volition,Deep Silver,7 June 2011 – 04:00:00 UTC,"72.69% of the 4,021 user reviews are positive.

SteamDB Rating","Red Faction: Armageddon Path to War includes 4 new missions, 2 unlockable items and 10 new achievements!","Action, Adventure, FPS, Horror, Aliens, Co-op, Open World, Third Person, Shooter, Third-Person Shooter, Multiplayer, Sci-fi, Singleplayer, Destruction, Mars, Linear"
214870,Painkiller Hell & Damnation,Game,The Farm 51,Deep Silver,31 October 2012,"77.00% of the 3,331 user reviews are positive.

SteamDB Rating","Evil has returned! Demonic powers are manifesting themselves as a myriad of dark creatures, fighting over the fates of imprisoned souls caught in Purgatory.","Action, Zombies, FPS, Horror, Co-op, Classic, Fast-Paced, Great Soundtrack, Shooter, First-Person, Local Co-Op, Online Co-Op, Multiplayer, Old School, Atmospheric, Singleplayer, Gore, Remake, Demons, Split Screen"
375900,Trackmania Turbo,Game,Nadeo,Ubisoft,24 March 2016 – 07:58:00 UTC,"64.24% of the 1,331 user reviews are positive.

SteamDB Rating","Trackmania offers you the ultimate arcade racing universe where everything is about reaching the perfect racing time. Test your skills in over 200 tracks, experience immediate fun by challenging your friends at home (offline splitscreen) or online.","Action, Massively Multiplayer, Racing, Co-op, Fast-Paced, Arcade, Sandbox, Local Co-Op, Multiplayer, Competitive, Difficult, Singleplayer, Time Attack, Local Multiplayer, Level Editor, Split Screen, VR"
339400,Runestone Keeper,Game,Blackfire,Cimugames,23 March 2015 – 07:08:45 UTC,"85.16% of the 2,365 user reviews are positive.

SteamDB Rating","Runestone Keeper is a roguelike dungeon crawler that blends classic RPG elements and turn based strategy. Heroes, monsters, equipment, events, magic and skills, traps and devices, shrines and altars, Goddesses and merchants. Choose your weapon and begin an epic adventure!","Strategy, RPG, Indie, Casual, Turn-Based, Rogue-like, Dungeon Crawler, Rogue-lite"
38600,Faerie Solitaire,Game,Subsoap,Subsoap,16 September 2010 – 22:49:00 UTC,"91.03% of the 2,465 user reviews are positive.

SteamDB Rating","Have magical fun in the addicting Card game, Faerie Solitaire! Find and raise a Faerie pet and repopulate the magical land of Avalon using the resources found by clearing each level.","Adventure, RPG, Indie, Casual, Relaxing, Puzzle, Card Game, Fantasy, Great Soundtrack, Board Game, Epic, Singleplayer, Addictive, Colorful, Dark Fantasy, Cute, Family Friendly, Beautiful, Solitaire, Tabletop"
206190,Gunpoint,Game,Suspicious Developments,Suspicious Developments,3 June 2013,"97.38% of the 11,524 user reviews are positive.

SteamDB Rating",Gunpoint is a stealth puzzle game that lets you rewire its levels to trick people. You play a freelance spy who takes jobs from his clients to break into high security buildings and steal sensitive data.,"Strategy, Action, Adventure, Indie, Platformer, GameMaker, Puzzle, Stealth, Comedy, Story Rich, Great Soundtrack, 2D, Sci-fi, Pixel Graphics, Funny, Singleplayer, Short, Hacking, Noir, Level Editor"
1108320,妄想破绽,Game,"",bilibili,27 November 2019 – 15:59:23 UTC,"67.52% of the 3,630 user reviews are positive.

SteamDB Rating",《妄想破绽》是一款文字冒险（AVG）游戏，数十万字精彩原创剧情，将带给大家一段近未来架空科技都市的幻想冒险体验。游戏中，玩家将扮演普通高中生与顶级黑客的双重身份。,"Adventure, Indie, Visual Novel, Anime"
404770,SUPERFIGHT,Game,Pipeworks Studios,Pipeworks Studios,21 July 2016 – 14:49:00 UTC,"62.32% of the 353 user reviews are positive.

SteamDB Rating","The hit card game goes digital with over SEVEN HUNDRED cards, including the Core, Blue, Purple, and Challenge Decks! Create fighters from random cards, then go head to head and argue over who would win in a fight. Unlock new content by playing a match with up to 4 players OR voting as a spectator!","Strategy, Free to Play, Indie, Casual, Card Game, Comedy, Fighting, Multiplayer, Party Game"
220160,Trials Evolution Gold Edition,Game,Redlynx Ltd,Ubisoft,21 March 2013 – 17:00:00 UTC,"77.59% of the 1,910 user reviews are positive.

SteamDB Rating","Trials Evolution: Gold Edition marks the Trials franchise’s triumphant return to the PC gaming platform. RedLynx’s signature franchise, the Trials series first made its mark in gaming with the 2008 release of Trials 2 SE for the PC.","Action, Simulation, Racing, Sports, Platformer, Multiplayer, Difficult, Local Multiplayer, Minigames, Level Editor, Bikes"
41300,Altitude,Game,Nimbly Games,Nimbly Games,4 December 2009 – 22:27:00 UTC,"92.39% of the 1,774 user reviews are positive.

SteamDB Rating","Now Available on PC, Mac and Linux!","Action, Free to Play, Indie, Casual, Simulation, Co-op, Arcade, Shooter, Multiplayer, 2D, Singleplayer, Flight"
214560,Mark of the Ninja,Game,Klei Entertainment,Microsoft Studios,"","97.00% of the 15,555 user reviews are positive.

SteamDB Rating","In Mark of the Ninja, you'll know what it is to truly be a ninja. You must be silent, agile and clever to outwit your opponents in a world of gorgeous scenery and flowing animation. Marked with cursed tattoos giving you heightened senses, every situation presents you with options.","Strategy, Action, Adventure, Indie, Casual, Platformer, Puzzle, Stealth, Ninja, Story Rich, Side Scroller, 2D, Atmospheric, Singleplayer, Short, Dark, Assassin, Cartoon, Replay Value, Controller"
449680,SAMOLIOTIK,Game,"","",25 March 2016 – 19:28:23 UTC,"84.26% of the 2,636 user reviews are positive.

SteamDB Rating","SAMOLIOTIK is a stylish shoot-em-up with different enemies, bosses, colour palettes, power-ups, set in different eras. In this game you will fight Adolf Gutler,The Illuminati, and other creatures.","Action, Indie, Casual, Psychological Horror, Story Rich, 2D, Pixel Graphics, Funny, Atmospheric, Singleplayer, Shoot 'Em Up, Illuminati, Memes"
330840,Game of Thrones - A Telltale Games Series,Game,Telltale Games,Telltale Games,2 December 2014 – 20:00:00 UTC,"76.28% of the 10,508 user reviews are positive.

SteamDB Rating","Game of Thrones - A Telltale Games Series is a six part episodic game series set in the world of HBO's groundbreaking TV show. This new story tells of House Forrester, a noble family from the north of Westeros, loyal to the Starks of Winterfell.","Adventure, Casual, War, Fantasy, Third Person, Point & Click, Story Rich, Based On A Novel, Dragons, Atmospheric, Medieval, Singleplayer, Episodic, Gore, Choose Your Own Adventure, Mature, Choices Matter, Nudity, Female Protagonist, Interactive Fiction"
305050,Outland,Game,Housemarque,Housemarque,29 September 2014 – 16:12:00 UTC,"81.50% of the 3,763 user reviews are positive.

SteamDB Rating","Outland is a fast-paced, dynamic platformer where the player uses powers of light and dark in an epic journey to save the world from forces of chaos.","Action, Adventure, Indie, Platformer, Metroidvania, Co-op, Great Soundtrack, Arcade, Online Co-Op, Multiplayer, 2D, Difficult, Atmospheric, Singleplayer, Bullet Hell, Controller"
402390,Hyperdrive Massacre,Game,34BigThings srl,34BigThings srl,12 October 2015 – 15:56:00 UTC,"55.41% of the 296 user reviews are positive.

SteamDB Rating","Hyperdrive Massacre is an 80s inspired arcade fragfest in Spacewar sauce designed around local multiplayer, focused on kinestetics, tactical and shooting skills at a frenzied pace.","Strategy, Action, Indie, Casual, Sports, Co-op, Space, Great Soundtrack, Arcade, Shooter, Local Co-Op, Sci-fi, Funny, Singleplayer, Futuristic, Colorful, 4 Player Local, Arena Shooter, Local Multiplayer, Controller"
313730,Sunrider: Mask of Arcadius,Game,Love in Space,Sekai Project,9 July 2014 – 21:17:54 UTC,"92.95% of the 2,668 user reviews are positive.

SteamDB Rating","As Captain Kayto Shields, embark on a galactic voyage of heroism and survival. With his home world destroyed and his nation conquered, the inexperienced Captain Shields, and his newly minted vessel, the Sunrider, are left as the only hope against a galactic evil intent on subjugating all sentient life.","Strategy, Action, Free to Play, RPG, Indie, Turn-Based, Tactical, Hex Grid, Turn-Based Strategy, Story Rich, Space, Great Soundtrack, Visual Novel, Sci-fi, Difficult, Anime, Singleplayer, Mechs, Romance, Nudity"
33100,Alien Shooter,Game,Sigma Team Inc.,Sigma Team Inc.,27 May 2009 – 07:00:00 UTC,"92.93% of the 1,542 user reviews are positive.

SteamDB Rating",Your mission is simple: clear the base at all costs. You will be provided with explosives to help you gain access to the teleports from where thousands of pitiless creatures pour.,"Action, RPG, Indie, Horror, Aliens, Classic, Shooter, Sci-fi, Atmospheric, Singleplayer, Gore, Top-Down Shooter, Top-Down, Isometric"
236510,Takedown: Red Sabre,Game,Serellan LLC,505 Games,20 September 2013 – 16:51:00 UTC,"39.85% of the 5,548 user reviews are positive.

SteamDB Rating","TAKEDOWN is a thinking-person’s shooter; brutal, hardcore and deadly - like the real thing. Not for the faint hearted, Takedown requires you to bring your 'A' game - FPS fans looking for an ultra hardcore experience only need apply!","Strategy, Action, Adventure, Early Access, Simulation, FPS, Horror, Co-op, Stealth, Tactical, Shooter, First-Person, Online Co-Op, Multiplayer, Difficult, Funny, Realistic, Singleplayer, Kickstarter, Walking Simulator"
1106040,Wolfenstein: Youngblood Demo,Demo,Machine Games,Bethesda Softworks,25 July 2019 – 17:00:00 UTC,"","",""
