streamer,twitch_profile,partner,language
adekvat,https://www.twitch.tv/adekvat,yes,Russian
lolarabia,https://www.twitch.tv/lolarabia,yes,Arabic
dansgaming,https://www.twitch.tv/dansgaming,yes,English
masayoshi,https://www.twitch.tv/masayoshi,yes,English
natsumiii,https://www.twitch.tv/natsumiii,yes,English
nick28t,https://www.twitch.tv/nick28t,yes,English
awesamdude,https://www.twitch.tv/awesamdude,yes,English
silky,https://www.twitch.tv/silky,yes,English
johnpittertv,https://www.twitch.tv/johnpittertv,yes,Portuguese
beatportofficial,https://www.twitch.tv/beatportofficial,yes,English
pijack11,https://www.twitch.tv/pijack11,yes,Portuguese
natehill,https://www.twitch.tv/natehill,yes,English
staiy,https://www.twitch.tv/staiy,yes,German
sanchovies,https://www.twitch.tv/sanchovies,yes,English
natalan,https://www.twitch.tv/natalan,yes,Spanish
desst3,https://www.twitch.tv/desst3,yes,Spanish
skyyart,https://www.twitch.tv/skyyart,yes,French
paka9999,https://www.twitch.tv/paka9999,yes,Korean
scoped,https://www.twitch.tv/scoped,yes,English
tenz,https://www.twitch.tv/tenz,yes,English
kitboga,https://www.twitch.tv/kitboga,yes,English
emongg,https://www.twitch.tv/emongg,yes,English
zenon_gp,https://www.twitch.tv/zenon_gp,no,Portuguese
esl_csgo_fr,https://www.twitch.tv/esl_csgo_fr,yes,French
unlostv,https://www.twitch.tv/unlostv,yes,Turkish
portialyn,https://www.twitch.tv/portialyn,yes,Korean
brucegrannec,https://www.twitch.tv/brucegrannec,yes,French
epic_sh4doweh,https://www.twitch.tv/epic_sh4doweh,yes,Russian
honeymad,https://www.twitch.tv/honeymad,yes,Russian
g2perkz,https://www.twitch.tv/g2perkz,yes,English
aydan,https://www.twitch.tv/aydan,yes,English
uberhaxornova,https://www.twitch.tv/uberhaxornova,yes,English
s1mple,https://www.twitch.tv/s1mple,yes,Russian
twitchkr,https://www.twitch.tv/twitchkr,yes,Korean
peterparktv,https://www.twitch.tv/peterparktv,yes,English
sequisha,https://www.twitch.tv/sequisha,yes,English
justaminx,https://www.twitch.tv/justaminx,yes,English
conterstine,https://www.twitch.tv/conterstine,yes,Spanish
xth0rek,https://www.twitch.tv/xth0rek,yes,Polish
chess,https://www.twitch.tv/chess,yes,English
batalhadaaldeia,https://www.twitch.tv/batalhadaaldeia,yes,Portuguese
imaqtpie,https://www.twitch.tv/imaqtpie,yes,English
raulzitoyt,https://www.twitch.tv/raulzitoyt,yes,Portuguese
